Intézménykód;Intézmény neve magyarul
ELTE;Eötvös Loránd Tudományegyetem
SZTE;Szegedi Tudományegyetem
SE;Semmelweis Egyetem
DE;Debreceni Egyetem
BME;Budapesti Műszaki és Gazdaságtudományi Egyetem
PTE;Pécsi Tudományegyetem
BGE;Budapesti Gazdasági Egyetem
MATE;Magyar Agrár- és Élettudományi Egyetem
BCE;Budapesti Corvinus Egyetem
OE;Óbudai Egyetem
MTSE;Magyar Testnevelési és Sporttudományi Egyetem
SZE;Széchenyi István Egyetem
ME;Miskolci Egyetem
NKE;Nemzeti Közszolgálati Egyetem
DUE;Dunaújvárosi Egyetem
ATE;Állatorvostudományi Egyetem
PE;Pannon Egyetem
PPKE;Pázmány Péter Katolikus Egyetem
MKE;Magyar Képzőművészeti Egyetem
EKKE;Eszterházy Károly Katolikus Egyetem
LFZE;Liszt Ferenc Zeneművészeti Egyetem
SOE;Soproni Egyetem
NJE;Neumann János Egyetem
KRE;Károli Gáspár Református Egyetem
NYE;Nyíregyházi Egyetem
KKM-BI;KKM-Balassi
MTE;Magyar Táncművészeti Egyetem
WJLF;Wesley János Lelkészképző Főiskola
EJF;Eötvös József Főiskola
EKE;Eszterházy Károly Egyetem
TE;Testnevelési Egyetem
MOME;Moholy-Nagy Művészeti Egyetem
SZIE;Szent István Egyetem
